Subject Code*,Title*,Course Description*,Credit Hours*,Class Notes*,Registration Restrictions*,Degree Plans*,Skills Learned*,,,,,
CSCI-5200*,Introduction to Wireless Systems*,"Overviews the distinctive characteristics of the wireless communications medium. Topics covered include: Analog signals, Antennas and Propagation, Digital Signals, Sampling, Quadrature Signals, Digital Modulation, SNR and SINR Concepts, Channel Models, Channel Statistics, and Link Budgets. The course includes an introduction to MIMO and beam-forming as implemented in modern communication systems. Software Defined Radio (SDR) is introduced to facilitate student hands-on learning of radio operation. Previously offered as a special topics course. Equivalent - Duplicate Degree Credit Not Granted: CYBR 5200 and CSCI 4200 *",3*,(SP26) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Students who register for this section must also register for the following LAB section: Section 011 LAB-0 hrs.*,Until open enrollment date registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Recommended prerequisites: CYBR 5010 and CYBR 5012.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective;NTEN-MSNE: Core, Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CYBR-5200*,Introduction to Wireless Systems*,"Overviews the distinctive characteristics of the wireless communications medium. Topics covered include: Analog signals, Antennas and Propagation, Digital Signals, Sampling, Quadrature Signals, Digital Modulation, SNR and SINR Concepts, Channel Models, Channel Statistics, and Link Budgets. The course includes an introduction to MIMO and beam-forming as implemented in modern communication systems. Software Defined Radio (SDR) is introduced to facilitate student hands-on learning of radio operation. Previously offered as a special topics course. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5200 and CSCI 4200 *",3*,(SP25) Students who register for this section must also register for the following LAB section (011)*,Recommended prerequisites: CYBR 5010 and CYBR 5012.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective;NTEN-MSNE: Core, Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5170*,IP Routing Protocols and Policies*,"Explores practical usage and conceptual underpinnings of link state and distance vector routing protocols. The course further explores a holistic view of how the Internet works from a technical routing aspect as well as policy and economics. The course is supplemented with frequent labs to fully explore the specific workings of the routing protocols RIP, OSPF, and BGP and the relationships between them in practical lab based routing scenarios. *",3*,(SP26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students.*,Restricted to graduate students only. Recommended prerequisite: CSCI 5010 or CYBR 5010 or CSCI 4273 or CSCI 5273 or ECEN 5273.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective;NTEN-MSNE: Core, Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CYBR-5220*,Wireless Local Area Networks*,"Emphasis on the IEEE P802.11 family of WLAN standards. Students learn the legacy versions of the standard (802.11DS/b), the current generation of WLAN systems (802.11a/g/n/ac), and will to analyze and critique upcoming versions (802.11ax/ba), and gain insight into proposals for new research in WLAN. Exposure to the interoperability and certification process for WLAN by the Wi-Fi Alliance, study the newest Wi-Fi Certified™ programs, and will learn how to model and analyze WLAN traffic using industry standard tools. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5220 and ECEN 5122 *",3*,"(SP26) 001: This class will be taught synchronously as a remote section, which means classes will be held virtually during the days and times listed.This class will have its last meeting day on Friday, April 24, 2026. 002: This distance (online) section delivers the recorded lecture asynchronously which means there are not scheduled days and times. The instructor will determine pacing and deadlines for students in the distance section. Check with the instructor for more information.*",Requires prerequisite course of CYBR 5010 or CSCI 5010 or CSCI 5273 (minimum grade B).*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective;NTEN-MSNE: Core, Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
APPM-8500*,"Statistics, Optimization, and Machine Learning Seminar*","DISCONTINUED - course no longer offered. Research-level seminar that explores the mathematical foundations of machine learning, in particular how statistics and optimization give rise to well-founded and efficient algorithms.*",1*,(FA26) Contact Cooper Doe (Cooper.Doe@colorado.edu) for all inquiries regarding this seminar*,Requisites: Restricted to graduate students only*,CSEN-PhD: Depth; CSEN-MS: Professional Development; CSEN-MSCPS: AIG; NTEN-MSNE: Not Applicable. NOTE: counts against non-CS course limit ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
ATLS-5420*,Professional Seminar: Business Creativity*,"This course was designed specifically to prepare students to make the most of their time in the CTD Master's Program, and to prepare them for a career within the creative technology and design professional landscape. The course helps students identify career goals and mentors, and helps them position themselves for industry through course-selection, portfolio development, and projects. There is also a survey element to the course which exposes students to creative technology professionals who discuss their career paths, offer advice, and provide insight into their individual design process.*",3*,(FA26) None*,Requisites: Restricted to Atlas (ATLS) graduate students only.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Elective*,Not Available*,,,,,
ATLS-5650*,Introduction to Programming*,"Explores computation as a powerful tool for creative design and expression in a project-based studio environment. Students learn the fundamentals of creative coding, computational thinking, and object-oriented programming. Hands-on topics include generative art and design, interactivity, animation, and visualization. This class is a mix of technical instruction (both inside and outside the classroom), readings, viewings, lectures, workdays, and critiques. This is a projects-based class, but projects will vary.*",3*,"(FA26) This class will have its last meeting day on Friday, Dec. 4, 2026.*",Requisites: Restricted to Atlas (ATLS) graduate students only.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Elective*,Not Available*,,,,,
CSCA-5859*,Ideating and Prototyping Interfaces*,"User interfaces are a core part of everyday work, learning, and entertainment. To learn how to create a successful user interface is key behind the most successful products we use on our phones and the web. This course is the first in a series of three in this specialization on Human-Computer Interaction (HCI). It covers the fundamental methods in conducting HCI research and practice. During this course, you will practice core skills related to HCI work, such as brainstorming, sketching, prototyping. By examining prominent examples of past HCI successes and failures, you will identify design practices that help you create great user experiences. By the end of the course, you will know how to ideate, design and create user interfaces through practical examples and have started a portfolio of example designs for your future practice. Please note, to complete this course, you will need access to a computer or laptop, a camera or similar device (such as a webcam), and paper and pen/pencils.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
ATLS-6910*,Social Impact Practicum*,"This practicum allows Social Impact MS students to synthesize what they have learned and test their readiness for a career in Social Impact. Practicum assignments are arranged under the supervision of the MS Program Director and involve work with a non-governmental organization, development agency or technology/policy entity. Successful completion is required for graduation from the Social Impact MS Program.*",3-6*,"(FA26) This class will be taught synchronously as a remote section, which means classes will be held virtually during the days and times listed.*",Requisites: Requires prerequisite courses of ATLS 5210 and ATLS 5220 and ATLS 5230 and ATLS 5240 and ATLS 5250 (all minimum grade D-).*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5453*,Cybersecurity in Crisis: Information and Internet Security*,"This is the third of three courses exploring Internet Policy: Principles and Problems, which is part of CU Boulder’s Master of Science in Data Science and Master of Science in Computer Science programs on Coursera. This course examines policy approaches to real-world cybersecurity problems occurring on the Internet. Learners will develop a privacy brief on a cybersecurity government policy, law or regulation of their choice. Successful completion of the first course in this series is recommended. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5738 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5443*,Protecting Individual Privacy on the Internet*,"This is the second of three courses exploring Internet Policy: Principles and Problems, which is part of CU Boulder’s Master of Science in Data Science and Master of Science in Computer Science programs on Coursera. This course critiques and develops regulatory approaches to real-world privacy problems created by the Internet. Learners will create a privacy brief based upon the exposure of their own private information when surfing the web. Successful completion of the first course in this series is recommended. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5737 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5433*,When to Regulate? The Digital Divide and Net Neutrality*,"This is the first of three courses exploring Internet Policy: Principles and Problems, which is part of CU Boulder’s Masters of Science in Data Science and Master of Science in Computer Science programs on Coursera. This course builds an interdisciplinary policy framework to critique and develop regulatory approaches to real-world problems on the Internet. Learners then use the framework to develop a definition of broadband to improve the Digital Divide and to evaluate net neutrality regulations.Equivalent - Duplicate Degree Credit Not Granted: DTSA 5736*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
DTSC-5003*,Programming for Data Science - Python for Data Science*,"This introductory course will provide Python fundamentals, including data structures and data analysis, complete hands-on exercises throughout the course modules, and create a final project to demonstrate your new skills. This course will demonstrate and practice how to create basic programs, working with data, and solving real-world problems in Python. This course is part of CU Boulder’s Master’s of Science in Data Science and was collaboratively designed by both academics and industry professionals to provide learners with an insider’s perspective on this exciting, evolving, and increasingly vital discipline. This is a Bridge to Data Science Pathway course. Up to 3 hours of bridge courses which meet applicable standards can count toward the 9-credit elective requirement for graduation for students on the Bridge to Data Science Pathway.*",1*,None available (FA24-FA26)*,None*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
DTSC-5001*,Math for Data Science*,This introductory course provides a general understanding of mathematics to be successful in Data Science. This course will cover a wide range of mathematical tools in Data Science. The course will provide an overview of Calculus and linear algebra along with selected topics from numerical analysis. This course is part of CU Boulder’s Master’s of Science in Data Science and was designed to provide a “bridge” for students without a STEM degree to be successful in the graduate program in Data Science.*,3*,None available (FA24-FA26)*,None*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
DTSC-5002*,Programming for Data Science - R for Data Science*,"This introductory course covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. The course will emphasize the use of tidyverse and will use the RStudio IDE. This course is part of CU Boulder’s Master’s of Science in Data Science and was designed to provide a background in R programming to students wishing to pursue graduate work in data science.*",3*,None available (FA24-FA26)*,None*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5854*,Verification and Synthesis of Autonomous Systems*,"This course will provide different techniques on the verification of autonomous systems against stability, regular, or omega-regular properties. Such techniques include Lyapunov theories, reachability analysis, barrier certificates, and model checking. Finally, it will introduce several techniques on designing controllers enforcing properties of interest over the original autonomous systems.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5834*,Modeling of Autonomous Systems*,"This course will explain the core structure in any autonomous system which includes sensors, actuators, and potentially communication networks. Then, it will cover different formal modeling frameworks used for autonomous systems including state-space representations (difference or differential equations), timed automata, hybrid automata, and in general transition systems. It will describe solutions and behaviors of systems and different interconnections between systems.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5844*,Requirement Specifications for Autonomous Systems*,"This course will discuss different ways of formally modeling requirements of interest for autonomous systems. Examples of such requirements include stability, invariance, reachability, regular languages, omega-regular languages, and linear temporal logic properties. In addition, it will introduce non-deterministic finite and büchi automata for recognizing, respectively, regular languages and omega-regular languages.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
DTSC-5501*,Data Structures and Algorithms*,"This course provides students with a fundamental introduction to data structures and the design and analysis of algorithms. It covers a range of data structures such as priority queues, hash functions, and trees alongside algorithmic design techniques such as divide and conquer, dynamic programming, and greedy algorithms. The course demonstrates applications of these concepts in a number of contexts such as the sorting of arrays, and the use of hash-tables for approximate counting. Some advanced topics, such as the data structures and algorithms used to represent and analyze spatial data, are also covered. The course ends with a brief introduction to intractability (NP-completeness) and using linear/integer programming solvers for solving optimization problems. This course cannot be applied for credit towards a graduate degree in Computer Science.*",3*,(FA26) This section is for MS- Data Science majors only. Please petition here if you are not a MS-DS major but would like to be considered for enrollment in this course. https://cuboulder.qualtrics.com/jfe/form/SV_cuvjZtMLSemsIUS*,Restricted to DTSC-MS only*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
DTSC-5301*,Data Science as a Field*,"This course provides a general introduction to the field of Data Science. It has been designed for aspiring data scientists, content experts who work with data scientists, or anyone interested in learning about what Data Science is and what it’s used for. Weekly topics include the past, present, and future of the field; examination of the process and pitfalls of data science; the academic disciplines that both practice and make use of Data Science; collaboration between data scientists and content experts; and the practice of Data Science in the professional world. This course is part of CU Boulder’s Master’s of Science in Data Science and was collaboratively designed by both academics and industry professionals to provide learners with an insider’s perspective on this exciting, evolving, and increasingly vital discipline.*",1*,"(FA26) This is a special session class with start and end dates that differ from full-semester classes. The corresponding add, drop and withdrawal dates also differ from full-semester classes--please see the special session calendar for specific information: https://www.colorado.edu/registrar/students/cu-boulder-on-coursera. This is a special session class with start and end dates that differ from full-semester classes. The corresponding add, drop and withdrawal dates also differ from full-semester classes--please see the special session calendar for specific information: https://www.colorado.edu/registrar/students/registration/special-sessions. This section is for DTSC majors only. Please petition here if you are not a DTSC major but would like to be considered for enrollment in this course. https://cuboulder.qualtrics.com/jfe/form/SV_cuvjZtMLSemsIUS*",Restricted to DTSC-MS only*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5522*,Data Mining Project*,"This course offers step-by-step guidance and hands-on experience of designing and implementing a real-world data mining project, including problem formulation, literature survey, proposed work, evaluation, discussion and future work. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5506 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5869*,User Interface Testing and Usability*,"This course is the second in a series of three in this specialization on Human-Computer Interaction (HCI). This course focuses on evaluating user interfaces to develop new user interface ideas or improve existing ones. You will learn how to understand the users’ needs, their abilities, the context that they operate in and their unique challenges through theory and practical methods. You will practice how to evaluate a user interface through standard industry practices and how to communicate the outcome to your peers. You will also compare between different low-cost methods to rapidly evaluate alternative user interface ideas as you iterate on your interface ideas. By the end of this course, you will be able to successfully assess a user interface and generate actionable insights through user testing. Please note, to complete this course, you will need access to a computer or laptop, a camera or similar device (such as a webcam), and paper and pen/pencils.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CYBR-6940*,Master's Candidate for Degree*,This course is for TCP Master's students who are approved candidates to receive their degree.*,1*,None available (FA24-FA26)*,Requisites: Restricted to CYBR/TLEN graduate students.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
ROBO-5008*,Introduction to Research*,"This course is an introductory course that helps new graduate students become research productive early in their graduate careers. Important topics related to scientific research that are often not covered in other courses are formally covered here, including: literature organization and review, technical writing, oral/poster presentations, data handling, visualization and analysis, scientific ethics, program requirements and student resources.*",1*,(FA26) Restricted to ROBO-MS and ROBO-PHD students only.*,Restricted to ROBO-MS and ROBO-PHD students only.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5622*,Introduction to Machine Learning: Supervised Learning*,"This course introduces various supervised ML algorithms and prediction tasks applied to different data. Specific topics include linear and logistic regression, KNN, Decision trees, ensemble methods such as Random Forest and Boosting, and kernel methods such as SVM. Formerly offered as a special topics course. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5509 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5502*,Data Mining Pipeline*,"This course introduces the key steps involved in the data mining pipeline, including data understanding, data preprocessing, data warehouse, data modeling, interpretation and evaluation, and real-world applications. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5504 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5902*,Mastering Classic Reinforcement Learning Algorithms*,"This course introduces the fundamentals of tabular reinforcement learning (RL), with a focus on finite Markov decision processes (MDPs) with scalar rewards. Students will delve into the theoretical foundations of RL, exploring MDP optimization techniques such as value iteration, policy iteration, and linear programming. Additionally, the course covers the optimization of unknown MDPs using tabular RL algorithms like Q-learning, along with their convergence guarantees.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5912*,Deep Reinforcement Learning: From Theory to Practice*,"This course introduces the fundamental concepts of deep reinforcement learning (RL), combining sampling-based RL optimization with deep neural networks. Topics include function approximation using neural networks, value-function-based methods (e.g., Deep Q-Networks), policy-gradient methods (e.g., REINFORCE), and hybrid approaches such as actor-critic methods. The course covers advanced algorithms like Trust Region Policy Optimization (TRPO), Proximal Policy Optimization (PPO), Deep Deterministic Policy Gradient (DDPG), and Soft Actor-Critic (SAC).*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5112*,Introduction to Generative AI*,"This course introduces the core concepts and architectures behind generative AI, including GANs, VAEs, diffusion models, and transformers. Students will explore how generative models produce text, images, and other outputs, and will gain foundational understanding of prompt design, and common limitations such as hallucinations. The course also includes an overview of AI literacy to support responsible use and prepares learners for applied work in generative AI systems.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5002*,Intelligent Agents and Search Algorithms*,"This course introduces the concepts of intelligent agents and search algorithms that are foundational in artificial intelligence. Students will explore agent architectures, environment types, and the design of rational behavior. Topics include uninformed and informed search strategies, such as breadth-first, depth-first, and A* search. Through assignments that include analysis and programming, students will compare algorithm performance and implement solutions to real-world problems.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5022*,Introduction to Learning*,"This course introduces foundational concepts in learning, with emphasis on how intelligent agents learn from experience. Students will explore supervised and unsupervised learning methods, reinforcement learning, hidden Markov models (HMMs) for modeling sequential data, and population-based algorithms such as genetic algorithms. The course provides theoretical coverage of the algorithms, as well as hands-on practice implementing and evaluating the algorithms.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5423*,Software Security*,"This course introduces core concepts in cybersecurity including confidentiality, integrity, authentication, risk management, and adversarial thinking. The concepts will be applied to both traditional information technology (IT) systems and cyber physical systems (CPS). The course provides a cyber security foundation that will allow practitioners in other fields to understand cyber security trade-offs and will also provide interested students with a basis for further study in cyber security. At the conclusion of the course, students will have a solid foundation in cybersecurity and hands-on experience.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5403*,Basic Ideas in Computing Security*,"This course introduces core concepts in cybersecurity including confidentiality, integrity, authentication, risk management, and adversarial thinking, as well as important Security Control models such as the NIST Cybersecurity framework. The concepts will be applied to both traditional information technology (IT) systems and cyber physical systems (CPS). The course provides a cyber security foundation that will allow practitioners in other fields to understand cyber security trade-offs and will also provide interested students with a basis for further study in cyber security.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5413*,Data Security and Cryptography*,"This course introduces basic cryptographic concepts from the ground up, including encryption, its history, symmetric and asymmetric methods, public key infrastructure, and how these algorithms apply to modern protocols in the transmission and storage of data. We will look at technical areas (like the key generation and message signing), as well as ethical concerns from a security engineering and compliance standpoint.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5313*,Security and Ethical Hacking: Attacking Unix and Windows*,"This course in the sequence examines attacks on computer systems, with particular attention to Unix Security Model and Windows for memory corruption and binary exploitation. Students can expect to learn about, and apply offensive techniques against, Unix in general. We will demonstrate lateral movement and privilege escalation attacks, as well as buffer overflow and other memory exploitation primitives. Course assessments are through quizzes, hands-on exercises and an exam.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5222*,Introduction to Computer Vision*,"This course guides students through the essential algorithms and methods to help computers 'see' and interpret visual data. Students learn the core concepts and techniques that have been traditionally used to analyze images. Then, students learn modern deep learning methods, such as neural networks and specific models designed for image recognition, can be used to perform more complex tasks like object detection and image segmentation. Additionally, students will learn the creation and impact of AI-generated images and videos, exploring the ethical considerations of such technology. Equivalent - Duplicate Degree Credit Not Granted: DTSA 5512 *",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CSCA-5012*,Knowledge Representation and Reasoning Under Uncertainty*,"This course explores how to represent, organize, and reason with knowledge in uncertain environments. Topics covered include logic-based representation (propositional and first-order logic), probabilistic reasoning, Bayesian networks, and decision-making under uncertainty. Students will learn to model intelligent behavior in dynamic domains using structured knowledge and inference techniques. Through theoretical analysis and practical implementation, students explore AI systems that can reason when there is incomplete or ambiguous information.*",1*,The following courses are only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,Only available through CU Boulder on Coursera program offerings. Please refer to the Online Programs section of the catalog for more information.*,CSEN-PhD: Not Applicable; CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; NTEN-MSNE: Not Applicable. ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
